"src_subject_id","start_time","end_time","browser","index","first_half_probabilities","second_half_probabilities","deck_color","deck_position","deck_probabilities","deck_contingencies","response_color","key_press","response_position","response_probability","reward_type","trial_type","rt","reward_tally","exclusion_reason"
"A3GPTSDDHJ2DBV","Tue Jan 28 2020 12:30:28 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 12:36:20 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",1,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","blue",49,"left","low","False","False",392,-50,NA
"A3GPTSDDHJ2DBV","Tue Jan 28 2020 12:30:28 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 12:36:20 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",2,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","red",50,"middle","high","True","False",281,50,NA
"A3GPTSDDHJ2DBV","Tue Jan 28 2020 12:30:28 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 12:36:20 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",3,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","red",50,"middle","high","True","False",159,150,NA
"A3GPTSDDHJ2DBV","Tue Jan 28 2020 12:30:28 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 12:36:20 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",4,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","red",50,"middle","high","True","False",145,250,NA
"A3GPTSDDHJ2DBV","Tue Jan 28 2020 12:30:28 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 12:36:20 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",5,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","red",50,"middle","high","True","False",187,350,NA
"A3GPTSDDHJ2DBV","Tue Jan 28 2020 12:30:28 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 12:36:20 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",6,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","red",50,"middle","high","True","False",435,450,NA
"A3GPTSDDHJ2DBV","Tue Jan 28 2020 12:30:28 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 12:36:20 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",7,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","red",50,"middle","high","True","False",346,550,NA
"A3GPTSDDHJ2DBV","Tue Jan 28 2020 12:30:28 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 12:36:20 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",8,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","red",50,"middle","high","True","False",323,650,NA
"A3GPTSDDHJ2DBV","Tue Jan 28 2020 12:30:28 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 12:36:20 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",9,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","red",50,"middle","high","True","False",223,750,NA
"A3GPTSDDHJ2DBV","Tue Jan 28 2020 12:30:28 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 12:36:20 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",10,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'high', u'medium']","red",50,"middle","high","False","True",289,700,NA
"A3GPTSDDHJ2DBV","Tue Jan 28 2020 12:30:28 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 12:36:20 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",11,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'medium', u'low']","black",51,"right","low","False","False",187,650,NA
"A3GPTSDDHJ2DBV","Tue Jan 28 2020 12:30:28 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 12:36:20 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",12,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'medium', u'low']","blue",49,"left","high","True","False",155,750,NA
"A3GPTSDDHJ2DBV","Tue Jan 28 2020 12:30:28 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 12:36:20 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",13,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'medium', u'low']","blue",49,"left","high","True","False",655,850,NA
"A3GPTSDDHJ2DBV","Tue Jan 28 2020 12:30:28 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 12:36:20 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",14,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'medium', u'low']","blue",49,"left","high","True","False",180,950,NA
"A3GPTSDDHJ2DBV","Tue Jan 28 2020 12:30:28 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 12:36:20 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",15,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'medium', u'low']","blue",49,"left","high","True","False",659,1050,NA
"A3GPTSDDHJ2DBV","Tue Jan 28 2020 12:30:28 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 12:36:20 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",16,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'medium', u'low']","blue",49,"left","high","True","False",292,1150,NA
"A3GPTSDDHJ2DBV","Tue Jan 28 2020 12:30:28 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 12:36:20 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",17,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'medium', u'low']","blue",49,"left","high","True","False",592,1250,NA
"A3GPTSDDHJ2DBV","Tue Jan 28 2020 12:30:28 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 12:36:20 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",18,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'medium', u'low']","blue",49,"left","high","True","False",239,1350,NA
"A3GPTSDDHJ2DBV","Tue Jan 28 2020 12:30:28 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 12:36:20 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",19,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'medium', u'low']","blue",49,"left","high","True","False",124,1450,NA
"A3GPTSDDHJ2DBV","Tue Jan 28 2020 12:30:28 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 12:36:20 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",20,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'medium', u'low']","blue",49,"left","high","True","True",572,1550,NA
"A3GPTSDDHJ2DBV","Tue Jan 28 2020 12:30:28 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 12:36:20 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",21,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","blue",49,"left","low","False","False",229,1500,NA
"A3GPTSDDHJ2DBV","Tue Jan 28 2020 12:30:28 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 12:36:20 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",22,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","black",51,"right","high","True","False",557,1600,NA
"A3GPTSDDHJ2DBV","Tue Jan 28 2020 12:30:28 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 12:36:20 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",23,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","black",51,"right","high","True","False",128,1700,NA
"A3GPTSDDHJ2DBV","Tue Jan 28 2020 12:30:28 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 12:36:20 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",24,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","black",51,"right","high","True","False",187,1800,NA
"A3GPTSDDHJ2DBV","Tue Jan 28 2020 12:30:28 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 12:36:20 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",25,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","black",51,"right","high","True","False",569,1900,NA
"A3GPTSDDHJ2DBV","Tue Jan 28 2020 12:30:28 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 12:36:20 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",26,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","black",51,"right","high","True","False",120,2000,NA
"A3GPTSDDHJ2DBV","Tue Jan 28 2020 12:30:28 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 12:36:20 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",27,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","black",51,"right","high","True","False",191,2100,NA
"A3GPTSDDHJ2DBV","Tue Jan 28 2020 12:30:28 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 12:36:20 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",28,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","black",51,"right","high","True","False",216,2200,NA
"A3GPTSDDHJ2DBV","Tue Jan 28 2020 12:30:28 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 12:36:20 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",29,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","black",51,"right","high","True","False",161,2300,NA
"A3GPTSDDHJ2DBV","Tue Jan 28 2020 12:30:28 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 12:36:20 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",30,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","black",51,"right","high","False","True",185,2250,NA
"A3GPTSDDHJ2DBV","Tue Jan 28 2020 12:30:28 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 12:36:20 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",31,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'high', u'low']","red",50,"middle","high","True","False",539,2350,NA
"A3GPTSDDHJ2DBV","Tue Jan 28 2020 12:30:28 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 12:36:20 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",32,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'high', u'low']","red",50,"middle","high","True","False",438,2450,NA
"A3GPTSDDHJ2DBV","Tue Jan 28 2020 12:30:28 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 12:36:20 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",33,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'high', u'low']","red",50,"middle","high","True","False",659,2550,NA
"A3GPTSDDHJ2DBV","Tue Jan 28 2020 12:30:28 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 12:36:20 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",34,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'high', u'low']","red",50,"middle","high","False","False",499,2500,NA
"A3GPTSDDHJ2DBV","Tue Jan 28 2020 12:30:28 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 12:36:20 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",35,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'high', u'low']","blue",49,"left","medium","False","False",169,2450,NA
"A3GPTSDDHJ2DBV","Tue Jan 28 2020 12:30:28 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 12:36:20 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",36,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'high', u'low']","black",51,"right","low","True","False",552,2550,NA
"A3GPTSDDHJ2DBV","Tue Jan 28 2020 12:30:28 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 12:36:20 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",37,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'high', u'low']","black",51,"right","low","False","False",505,2500,NA
"A3GPTSDDHJ2DBV","Tue Jan 28 2020 12:30:28 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 12:36:20 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",38,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'high', u'low']","blue",49,"left","medium","True","False",483,2600,NA
"A3GPTSDDHJ2DBV","Tue Jan 28 2020 12:30:28 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 12:36:20 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",39,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'high', u'low']","blue",49,"left","medium","False","False",3,2550,NA
"A3GPTSDDHJ2DBV","Tue Jan 28 2020 12:30:28 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 12:36:20 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",40,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'high', u'low']","red",50,"middle","high","True","False",211,2650,NA
"A3GPTSDDHJ2DBV","Tue Jan 28 2020 12:30:28 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 12:36:20 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",41,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","red",50,"middle","low","False","False",411,2600,NA
"A3GPTSDDHJ2DBV","Tue Jan 28 2020 12:30:28 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 12:36:20 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",42,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","black",51,"right","medium","False","False",120,2550,NA
"A3GPTSDDHJ2DBV","Tue Jan 28 2020 12:30:28 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 12:36:20 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",43,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","blue",49,"left","high","True","False",306,2650,NA
"A3GPTSDDHJ2DBV","Tue Jan 28 2020 12:30:28 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 12:36:20 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",44,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","blue",49,"left","high","True","False",377,2750,NA
"A3GPTSDDHJ2DBV","Tue Jan 28 2020 12:30:28 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 12:36:20 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",45,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","blue",49,"left","high","True","False",72,2850,NA
"A3GPTSDDHJ2DBV","Tue Jan 28 2020 12:30:28 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 12:36:20 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",46,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","blue",49,"left","high","True","False",78,2950,NA
"A3GPTSDDHJ2DBV","Tue Jan 28 2020 12:30:28 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 12:36:20 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",47,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","blue",49,"left","high","True","False",158,3050,NA
"A3GPTSDDHJ2DBV","Tue Jan 28 2020 12:30:28 GMT-0500 (Eastern Standard Time)","Tue Jan 28 2020 12:36:20 GMT-0500 (Eastern Standard Time)","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",48,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'blue', u'red', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","blue",49,"left","high","False","False",86,3000,NA
