"src_subject_id","start_time","end_time","browser","index","first_half_probabilities","second_half_probabilities","deck_color","deck_position","deck_probabilities","deck_contingencies","response_color","key_press","response_position","response_probability","reward_type","trial_type","rt","reward_tally","exclusion_reason"
"A3UD7T1L80TCR3","Thu Oct 29 2020 11:29:57 GMT-0500 (Central Daylight Time)","Thu Oct 29 2020 11:37:44 GMT-0500 (Central Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13421.73.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.112 Safari/537.36",1,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","blue",50,"middle","low","True","False",1100,100,NA
"A3UD7T1L80TCR3","Thu Oct 29 2020 11:29:57 GMT-0500 (Central Daylight Time)","Thu Oct 29 2020 11:37:44 GMT-0500 (Central Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13421.73.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.112 Safari/537.36",2,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","blue",50,"middle","low","False","False",1118,50,NA
"A3UD7T1L80TCR3","Thu Oct 29 2020 11:29:57 GMT-0500 (Central Daylight Time)","Thu Oct 29 2020 11:37:44 GMT-0500 (Central Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13421.73.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.112 Safari/537.36",3,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","black",51,"right","medium","True","False",658,150,NA
"A3UD7T1L80TCR3","Thu Oct 29 2020 11:29:57 GMT-0500 (Central Daylight Time)","Thu Oct 29 2020 11:37:44 GMT-0500 (Central Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13421.73.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.112 Safari/537.36",4,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","red",49,"left","high","True","False",1080,250,NA
"A3UD7T1L80TCR3","Thu Oct 29 2020 11:29:57 GMT-0500 (Central Daylight Time)","Thu Oct 29 2020 11:37:44 GMT-0500 (Central Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13421.73.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.112 Safari/537.36",5,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","blue",50,"middle","low","False","False",1103,200,NA
"A3UD7T1L80TCR3","Thu Oct 29 2020 11:29:57 GMT-0500 (Central Daylight Time)","Thu Oct 29 2020 11:37:44 GMT-0500 (Central Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13421.73.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.112 Safari/537.36",6,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","black",51,"right","medium","True","False",597,300,NA
"A3UD7T1L80TCR3","Thu Oct 29 2020 11:29:57 GMT-0500 (Central Daylight Time)","Thu Oct 29 2020 11:37:44 GMT-0500 (Central Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13421.73.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.112 Safari/537.36",7,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","black",51,"right","medium","True","False",608,400,NA
"A3UD7T1L80TCR3","Thu Oct 29 2020 11:29:57 GMT-0500 (Central Daylight Time)","Thu Oct 29 2020 11:37:44 GMT-0500 (Central Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13421.73.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.112 Safari/537.36",8,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","black",51,"right","medium","False","False",913,350,NA
"A3UD7T1L80TCR3","Thu Oct 29 2020 11:29:57 GMT-0500 (Central Daylight Time)","Thu Oct 29 2020 11:37:44 GMT-0500 (Central Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13421.73.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.112 Safari/537.36",9,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","red",49,"left","high","True","False",579,450,NA
"A3UD7T1L80TCR3","Thu Oct 29 2020 11:29:57 GMT-0500 (Central Daylight Time)","Thu Oct 29 2020 11:37:44 GMT-0500 (Central Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13421.73.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.112 Safari/537.36",10,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","red",49,"left","high","True","False",648,550,NA
"A3UD7T1L80TCR3","Thu Oct 29 2020 11:29:57 GMT-0500 (Central Daylight Time)","Thu Oct 29 2020 11:37:44 GMT-0500 (Central Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13421.73.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.112 Safari/537.36",11,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","red",49,"left","high","True","False",596,650,NA
"A3UD7T1L80TCR3","Thu Oct 29 2020 11:29:57 GMT-0500 (Central Daylight Time)","Thu Oct 29 2020 11:37:44 GMT-0500 (Central Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13421.73.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.112 Safari/537.36",12,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","red",49,"left","high","True","False",1147,750,NA
"A3UD7T1L80TCR3","Thu Oct 29 2020 11:29:57 GMT-0500 (Central Daylight Time)","Thu Oct 29 2020 11:37:44 GMT-0500 (Central Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13421.73.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.112 Safari/537.36",13,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","red",49,"left","high","False","False",989,700,NA
"A3UD7T1L80TCR3","Thu Oct 29 2020 11:29:57 GMT-0500 (Central Daylight Time)","Thu Oct 29 2020 11:37:44 GMT-0500 (Central Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13421.73.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.112 Safari/537.36",14,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","blue",50,"middle","low","False","False",352,650,NA
"A3UD7T1L80TCR3","Thu Oct 29 2020 11:29:57 GMT-0500 (Central Daylight Time)","Thu Oct 29 2020 11:37:44 GMT-0500 (Central Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13421.73.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.112 Safari/537.36",15,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","black",51,"right","medium","True","False",551,750,NA
"A3UD7T1L80TCR3","Thu Oct 29 2020 11:29:57 GMT-0500 (Central Daylight Time)","Thu Oct 29 2020 11:37:44 GMT-0500 (Central Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13421.73.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.112 Safari/537.36",16,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","black",51,"right","medium","True","False",653,850,NA
"A3UD7T1L80TCR3","Thu Oct 29 2020 11:29:57 GMT-0500 (Central Daylight Time)","Thu Oct 29 2020 11:37:44 GMT-0500 (Central Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13421.73.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.112 Safari/537.36",17,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","black",51,"right","medium","True","False",529,950,NA
"A3UD7T1L80TCR3","Thu Oct 29 2020 11:29:57 GMT-0500 (Central Daylight Time)","Thu Oct 29 2020 11:37:44 GMT-0500 (Central Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13421.73.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.112 Safari/537.36",18,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","red",49,"left","high","False","False",1613,900,NA
"A3UD7T1L80TCR3","Thu Oct 29 2020 11:29:57 GMT-0500 (Central Daylight Time)","Thu Oct 29 2020 11:37:44 GMT-0500 (Central Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13421.73.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.112 Safari/537.36",19,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","black",51,"right","medium","False","False",402,850,NA
"A3UD7T1L80TCR3","Thu Oct 29 2020 11:29:57 GMT-0500 (Central Daylight Time)","Thu Oct 29 2020 11:37:44 GMT-0500 (Central Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13421.73.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.112 Safari/537.36",20,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","blue",50,"middle","low","False","False",623,800,NA
"A3UD7T1L80TCR3","Thu Oct 29 2020 11:29:57 GMT-0500 (Central Daylight Time)","Thu Oct 29 2020 11:37:44 GMT-0500 (Central Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13421.73.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.112 Safari/537.36",21,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","red",49,"left","high","True","False",403,900,NA
"A3UD7T1L80TCR3","Thu Oct 29 2020 11:29:57 GMT-0500 (Central Daylight Time)","Thu Oct 29 2020 11:37:44 GMT-0500 (Central Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13421.73.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.112 Safari/537.36",22,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","red",49,"left","high","True","False",437,1000,NA
"A3UD7T1L80TCR3","Thu Oct 29 2020 11:29:57 GMT-0500 (Central Daylight Time)","Thu Oct 29 2020 11:37:44 GMT-0500 (Central Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13421.73.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.112 Safari/537.36",23,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","red",49,"left","high","True","False",866,1100,NA
"A3UD7T1L80TCR3","Thu Oct 29 2020 11:29:57 GMT-0500 (Central Daylight Time)","Thu Oct 29 2020 11:37:44 GMT-0500 (Central Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13421.73.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.112 Safari/537.36",24,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","red",49,"left","high","True","False",903,1200,NA
"A3UD7T1L80TCR3","Thu Oct 29 2020 11:29:57 GMT-0500 (Central Daylight Time)","Thu Oct 29 2020 11:37:44 GMT-0500 (Central Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13421.73.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.112 Safari/537.36",25,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","red",49,"left","high","True","False",885,1300,NA
"A3UD7T1L80TCR3","Thu Oct 29 2020 11:29:57 GMT-0500 (Central Daylight Time)","Thu Oct 29 2020 11:37:44 GMT-0500 (Central Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13421.73.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.112 Safari/537.36",26,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","red",49,"left","high","True","False",660,1400,NA
"A3UD7T1L80TCR3","Thu Oct 29 2020 11:29:57 GMT-0500 (Central Daylight Time)","Thu Oct 29 2020 11:37:44 GMT-0500 (Central Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13421.73.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.112 Safari/537.36",27,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","red",49,"left","high","True","False",533,1500,NA
"A3UD7T1L80TCR3","Thu Oct 29 2020 11:29:57 GMT-0500 (Central Daylight Time)","Thu Oct 29 2020 11:37:44 GMT-0500 (Central Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13421.73.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.112 Safari/537.36",28,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","red",49,"left","high","True","False",522,1600,NA
"A3UD7T1L80TCR3","Thu Oct 29 2020 11:29:57 GMT-0500 (Central Daylight Time)","Thu Oct 29 2020 11:37:44 GMT-0500 (Central Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13421.73.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.112 Safari/537.36",29,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'high', u'low', u'medium']","red",49,"left","high","True","True",601,1700,NA
"A3UD7T1L80TCR3","Thu Oct 29 2020 11:29:57 GMT-0500 (Central Daylight Time)","Thu Oct 29 2020 11:37:44 GMT-0500 (Central Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13421.73.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.112 Safari/537.36",30,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","red",49,"left","low","False","False",553,1650,NA
"A3UD7T1L80TCR3","Thu Oct 29 2020 11:29:57 GMT-0500 (Central Daylight Time)","Thu Oct 29 2020 11:37:44 GMT-0500 (Central Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13421.73.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.112 Safari/537.36",31,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","blue",50,"middle","medium","False","False",575,1600,NA
"A3UD7T1L80TCR3","Thu Oct 29 2020 11:29:57 GMT-0500 (Central Daylight Time)","Thu Oct 29 2020 11:37:44 GMT-0500 (Central Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13421.73.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.112 Safari/537.36",32,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","black",51,"right","high","True","False",435,1700,NA
"A3UD7T1L80TCR3","Thu Oct 29 2020 11:29:57 GMT-0500 (Central Daylight Time)","Thu Oct 29 2020 11:37:44 GMT-0500 (Central Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13421.73.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.112 Safari/537.36",33,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","black",51,"right","high","True","False",427,1800,NA
"A3UD7T1L80TCR3","Thu Oct 29 2020 11:29:57 GMT-0500 (Central Daylight Time)","Thu Oct 29 2020 11:37:44 GMT-0500 (Central Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13421.73.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.112 Safari/537.36",34,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","black",51,"right","high","True","False",536,1900,NA
"A3UD7T1L80TCR3","Thu Oct 29 2020 11:29:57 GMT-0500 (Central Daylight Time)","Thu Oct 29 2020 11:37:44 GMT-0500 (Central Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13421.73.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.112 Safari/537.36",35,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","black",51,"right","high","True","False",415,2000,NA
"A3UD7T1L80TCR3","Thu Oct 29 2020 11:29:57 GMT-0500 (Central Daylight Time)","Thu Oct 29 2020 11:37:44 GMT-0500 (Central Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13421.73.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.112 Safari/537.36",36,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","black",51,"right","high","True","False",447,2100,NA
"A3UD7T1L80TCR3","Thu Oct 29 2020 11:29:57 GMT-0500 (Central Daylight Time)","Thu Oct 29 2020 11:37:44 GMT-0500 (Central Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13421.73.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.112 Safari/537.36",37,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","black",51,"right","high","True","False",515,2200,NA
"A3UD7T1L80TCR3","Thu Oct 29 2020 11:29:57 GMT-0500 (Central Daylight Time)","Thu Oct 29 2020 11:37:44 GMT-0500 (Central Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13421.73.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.112 Safari/537.36",38,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","black",51,"right","high","True","False",454,2300,NA
"A3UD7T1L80TCR3","Thu Oct 29 2020 11:29:57 GMT-0500 (Central Daylight Time)","Thu Oct 29 2020 11:37:44 GMT-0500 (Central Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13421.73.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.112 Safari/537.36",39,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","black",51,"right","high","True","False",383,2400,NA
"A3UD7T1L80TCR3","Thu Oct 29 2020 11:29:57 GMT-0500 (Central Daylight Time)","Thu Oct 29 2020 11:37:44 GMT-0500 (Central Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13421.73.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.112 Safari/537.36",40,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'low', u'medium', u'high']","black",51,"right","high","True","True",467,2500,NA
"A3UD7T1L80TCR3","Thu Oct 29 2020 11:29:57 GMT-0500 (Central Daylight Time)","Thu Oct 29 2020 11:37:44 GMT-0500 (Central Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13421.73.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.112 Safari/537.36",41,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'high', u'low']","black",51,"right","low","False","False",1133,2450,NA
"A3UD7T1L80TCR3","Thu Oct 29 2020 11:29:57 GMT-0500 (Central Daylight Time)","Thu Oct 29 2020 11:37:44 GMT-0500 (Central Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13421.73.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.112 Safari/537.36",42,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'high', u'low']","blue",50,"middle","high","True","False",317,2550,NA
"A3UD7T1L80TCR3","Thu Oct 29 2020 11:29:57 GMT-0500 (Central Daylight Time)","Thu Oct 29 2020 11:37:44 GMT-0500 (Central Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13421.73.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.112 Safari/537.36",43,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'high', u'low']","blue",50,"middle","high","True","False",460,2650,NA
"A3UD7T1L80TCR3","Thu Oct 29 2020 11:29:57 GMT-0500 (Central Daylight Time)","Thu Oct 29 2020 11:37:44 GMT-0500 (Central Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13421.73.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.112 Safari/537.36",44,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'high', u'low']","black",51,"right","low","False","False",1060,2600,NA
"A3UD7T1L80TCR3","Thu Oct 29 2020 11:29:57 GMT-0500 (Central Daylight Time)","Thu Oct 29 2020 11:37:44 GMT-0500 (Central Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13421.73.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.112 Safari/537.36",45,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'high', u'low']","blue",50,"middle","high","True","False",313,2700,NA
"A3UD7T1L80TCR3","Thu Oct 29 2020 11:29:57 GMT-0500 (Central Daylight Time)","Thu Oct 29 2020 11:37:44 GMT-0500 (Central Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13421.73.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.112 Safari/537.36",46,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'high', u'low']","blue",50,"middle","high","True","False",353,2800,NA
"A3UD7T1L80TCR3","Thu Oct 29 2020 11:29:57 GMT-0500 (Central Daylight Time)","Thu Oct 29 2020 11:37:44 GMT-0500 (Central Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13421.73.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.112 Safari/537.36",47,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'high', u'low']","blue",50,"middle","high","True","False",553,2900,NA
"A3UD7T1L80TCR3","Thu Oct 29 2020 11:29:57 GMT-0500 (Central Daylight Time)","Thu Oct 29 2020 11:37:44 GMT-0500 (Central Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13421.73.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.112 Safari/537.36",48,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'high', u'low']","blue",50,"middle","high","True","False",522,3000,NA
"A3UD7T1L80TCR3","Thu Oct 29 2020 11:29:57 GMT-0500 (Central Daylight Time)","Thu Oct 29 2020 11:37:44 GMT-0500 (Central Daylight Time)","Mozilla/5.0 (X11; CrOS x86_64 13421.73.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.112 Safari/537.36",49,"[0.9, 0.5, 0.1]","[0.8, 0.4, 0.2]","[u'red', u'blue', u'black']","[u'left', u'middle', u'right']","[0.9, 0.5, 0.1]","[u'medium', u'high', u'low']","blue",50,"middle","high","True","False",422,3100,NA
